都道府県,目的,地点数,客数
岐阜県,温泉・健康,55.0,2351.0
岐阜県,スポーツ・レク,151.0,3392.0
岐阜県,都市型観光,23.0,2492.0
岐阜県,イベント,60.0,2754.0
静岡県,自然,46.0,3995.0
静岡県,歴史・文化,187.0,5045.0
静岡県,温泉・健康,46.0,1102.0
静岡県,スポーツ・レク,273.0,8504.0
静岡県,都市型観光,38.0,5256.0
静岡県,イベント,131.0,7608.0
愛知県,自然,37.0,1875.0
愛知県,歴史・文化,143.0,7473.0
愛知県,温泉・健康,21.0,815.0
愛知県,スポーツ・レク,139.0,7950.0
愛知県,都市型観光,44.0,7606.0
愛知県,イベント,63.0,11330.0
三重県,自然,36.0,755.0
三重県,歴史・文化,72.0,3812.0
三重県,温泉・健康,29.0,1667.0
三重県,スポーツ・レク,134.0,7394.0
三重県,都市型観光,22.0,833.0
三重県,イベント,29.0,1955.0
滋賀県,自然,24.0,464.0
滋賀県,歴史・文化,114.0,2399.0
滋賀県,温泉・健康,22.0,411.0
滋賀県,スポーツ・レク,111.0,2962.0
滋賀県,都市型観光,29.0,1275.0
滋賀県,イベント,38.0,1448.0
京都府,自然,18.0,257.0
京都府,歴史・文化,83.0,13444.0
京都府,温泉・健康,18.0,550.0
京都府,スポーツ・レク,73.0,2375.0
京都府,都市型観光,7.0,344.0
京都府,イベント,13.0,331.0
兵庫県,自然,89.0,1281.0
兵庫県,歴史・文化,293.0,7236.0
兵庫県,温泉・健康,74.0,2144.0
兵庫県,スポーツ・レク,362.0,10325.0
兵庫県,都市型観光,43.0,10127.0
兵庫県,イベント,79.0,4875.0
奈良県,自然,25.0,912.0
奈良県,歴史・文化,92.0,3996.0
奈良県,温泉・健康,24.0,454.0
奈良県,スポーツ・レク,19.0,344.0
奈良県,都市型観光,5.0,151.0
奈良県,イベント,19.0,1453.0
和歌山県,自然,14.0,170.0
和歌山県,歴史・文化,32.0,1064.0
和歌山県,温泉・健康,13.0,195.0
和歌山県,スポーツ・レク,46.0,2739.0
和歌山県,都市型観光,2.0,48.0
和歌山県,イベント,17.0,704.0
鳥取県,自然,11.0,532.0
鳥取県,歴史・文化,39.0,923.0
鳥取県,温泉・健康,19.0,564.0
鳥取県,スポーツ・レク,35.0,385.0
鳥取県,都市型観光,16.0,1910.0
鳥取県,イベント,16.0,718.0
島根県,自然,17.0,764.0
島根県,歴史・文化,69.0,3918.0
島根県,温泉・健康,24.0,665.0
島根県,スポーツ・レク,36.0,677.0
