都道府県,目的,1_地点数,2_地点数,3_地点数,4_地点数,1_客数,2_客数,3_客数,4_客数
41 佐賀県,歴史・文化,34,34,33,33,2553,1158,882,1186
41 佐賀県,温泉・健康,16,16,16,16,559,465,452,448
41 佐賀県,スポーツ・レク,33,33,40,40,389,536,589,592
41 佐賀県,都市型観光,27,27,27,27,2591,2629,2646,2859
41 佐賀県,その他,10,10,9,9,254,287,203,262
41 佐賀県,イベント,12,10,25,26,422,1427,1136,2990
43 熊本県,自然,24,24,24,24,445,303,525,329
43 熊本県,歴史・文化,75,75,75,75,2561,1090,1594,1934
43 熊本県,温泉・健康,44,44,44,44,2217,1479,1238,1347
43 熊本県,スポーツ・レク,78,78,78,78,1261,815,1368,1046
43 熊本県,都市型観光,60,59,59,59,3023,2504,3004,2984
43 熊本県,その他,26,26,26,26,1922,1587,2000,1881
43 熊本県,イベント,43,15,38,48,1734,424,1559,1355
44 大分県,自然,37,37,37,37,295,383,630,755
44 大分県,歴史・文化,88,88,88,88,3336,1625,2581,2792
44 大分県,温泉・健康,48,48,48,48,2199,1028,2309,2200
44 大分県,スポーツ・レク,73,73,73,73,1502,1273,2105,1601
44 大分県,都市型観光,16,16,16,16,221,211,293,305
44 大分県,その他,42,42,42,42,1737,1636,2078,2065
44 大分県,イベント,12,17,35,27,450,787,1309,1124
45 宮崎県,自然,18,18,18,18,431,395,439,578
45 宮崎県,歴史・文化,56,56,56,56,2817,1456,1591,1488
45 宮崎県,温泉・健康,26,26,26,26,823,589,640,637
45 宮崎県,スポーツ・レク,81,81,81,81,1203,1248,1875,1199
45 宮崎県,都市型観光,10,10,10,10,274,349,294,298
45 宮崎県,その他,21,21,21,21,1062,1084,1096,1100
45 宮崎県,イベント,13,14,30,32,279,448,828,804
46 鹿児島県,自然,38,38,38,38,336,403,413,510
46 鹿児島県,歴史・文化,66,66,66,66,1868,1344,1832,1639
46 鹿児島県,温泉・健康,48,48,48,48,823,667,677,584
46 鹿児島県,スポーツ・レク,99,99,99,99,1840,2335,2354,2028
46 鹿児島県,都市型観光,41,41,41,41,909,1063,1126,1093
46 鹿児島県,その他,16,16,16,16,582,536,662,650
46 鹿児島県,イベント,23,20,40,34,1386,662,1313,1067
