都道府県,県内_宿泊,県内_日帰り,県外_宿泊,県外_日帰り,消費額
高知県,109,457,367,620,19477
福岡県,427,14473,693,6999,227708
佐賀県,80,622,228,2791,35369
熊本県,401,4470,620,1606,51535
大分県,232,1566,826,1588,41387
宮崎県,125,2069,227,969,21525
鹿児島県,278,2071,696,663,38805
北海道,1639,4493,860,43,118840
青森県,127,1579,313,794,25174
岩手県,249,795,423,414,21601
宮城県,410,3548,539,1211,53763
秋田県,96,1587,215,825,15674
山形県,252,1218,443,1662,36324
福島県,378,1451,702,1267,41577
茨城県,174,4631,342,5406,45436
栃木県,413,3967,1606,6399,124747
群馬県,360,2722,1097,2532,47748
埼玉県,117,17820,211,8710,119674
千葉県,564,8978,2663,8689,206318
東京都,1118,59528,2214,50123,845296
神奈川県,785,7254,1591,6424,102839
新潟県,439,3556,711,2065,63093
富山県,143,1744,245,2048,29613
山梨県,145,1215,1170,3758,73771
長野県,447,2076,1903,3439,120899
岐阜県,194,3741,673,6641,81503
静岡県,691,9237,2362,4131,134424
愛知県,684,12309,664,7698,142931
三重県,310,2970,1100,5985,115273
滋賀県,146,671,417,2320,25202
京都府,292,1868,1824,5066,125486
兵庫県,506,6131,1156,9802,162607
奈良県,69,1735,373,3206,33145
和歌山県,130,729,565,1868,35280
鳥取県,83,468,320,769,15939
島根県,99,383,327,1257,18418
岡山県,126,1247,344,1688,24451
広島県,219,1873,548,861,39780
山口県,109,2283,294,1207,23914
香川県,73,952,335,2484,28946
愛媛県,79,2020,363,752,23285
高知県,67,561,225,480,13805
福岡県,339,12645,697,4496,168571
佐賀県,61,715,274,3002,42691
熊本県,232,4692,574,2355,40459
大分県,197,1372,789,1629,35004
宮崎県,102,1871,181,1072,16900
鹿児島県,214,2160,529,379,29363
北海道,1399,5663,789,31,114229
青森県,104,1617,165,590,16663
岩手県,251,1190,277,289,18110
宮城県,383,4403,473,991,43464
秋田県,89,2065,132,281,15872
山形県,234,1918,341,1110,26141
福島県,387,1634,606,1739,38230
茨城県,154,2871,357,4329,42947
栃木県,311,4746,1094,6913,140161
群馬県,315,2398,976,2181,39535
埼玉県,82,15162,176,9564,119781
千葉県,510,12276,2703,19294,324283
東京都,849,62507,2126,56095,862690
神奈川県,623,11554,1395,20714,249448
新潟県,345,4707,969,702,52093
富山県,115,957,189,515,13246
山梨県,138,1304,845,2555,56077
長野県,454,2193,1866,3564,137397
岐阜県,144,3729,661,5923,56102
愛知県,428,24619,614,8031,166331
三重県,163,3434,840,7661,107121
滋賀県,108,547,334,2347,22638
京都府,259,5559,1205,8587,120202
兵庫県,521,15250,1102,11191,172784
奈良県,46,1797,223,3277,25719
和歌山県,87,614,570,989,23656
鳥取県,55,491,262,633,13167
島根県,54,1006,209,1317,15726
岡山県,96,982,347,1123,18717
広島県,199,1397,395,1068,33527
山口県,90,2507,218,979,17257
徳島県,26,704,163,1520,11135
香川県,48,1228,254,1747,20153
愛媛県,92,1821,341,699,21575
福岡県,480,15050,655,6605,187688
佐賀県,44,659,252,2657,47352
熊本県,165,3732,490,1699,65670
大分県,140,1890,676,1303,31261
宮崎県,86,1622,207,995,20842
鹿児島県,182,2410,489,668,30175
北海道,1341,10584,823,21,143433
青森県,128,1551,336,711,25151
岩手県,184,948,397,676,24047
宮城県,345,4292,590,1359,51618
秋田県,95,2564,230,1041,16538
山形県,193,1234,404,3045,48619
福島県,343,1410,654,1555,46893
茨城県,144,4630,319,4118,38802
栃木県,336,3669,1289,8136,105536
群馬県,268,3720,1029,2105,74842
埼玉県,91,17646,185,10714,133707
千葉県,456,10582,2504,15960,262642
東京都,782,61177,2084,55551,923941
神奈川県,613,7133,1468,9420,151101
新潟県,298,4258,644,1908,53773
富山県,92,1363,258,2290,33320
福井県,122,741,310,2086,30355
山梨県,125,1857,1124,5526,93414
長野県,370,1837,1536,4417,139447
岐阜県,135,3831,575,7099,62321
愛知県,457,19772,630,5824,92402
三重県,156,2605,821,7097,89608
京都府,264,2904,1662,8731,165966
兵庫県,427,5613,1082,12370,142243
奈良県,98,1659,380,4169,36586
和歌山県,106,351,610,1724,24423
鳥取県,76,597,257,1180,14655
島根県,81,799,274,1074,15187
岡山県,134,1584,351,920,19362
広島県,299,2964,484,1074,36518
山口県,208,2652,360,1007,27001
徳島県,38,904,220,1609,22970
香川県,59,1032,266,1598,18294
愛媛県,99,2181,375,814,24824
福岡県,389,19226,731,3400,197816
佐賀県,59,576,213,3433,45338
熊本県,196,4506,564,2406,58703
大分県,164,1839,667,959,26179
宮崎県,97,2097,174,1106,23574
北海道,1805,14862,1294,101,224876
青森県,146,2202,469,979,30504
岩手県,256,1082,544,762,31158
宮城県,382,3788,656,1395,61943
秋田県,106,1756,446,840,20523
山形県,234,2319,570,2867,40995
福島県,390,1510,894,3542,69006
茨城県,171,3702,289,2943,33918
栃木県,366,3050,1860,6946,154088
群馬県,340,2905,1306,2508,73763
埼玉県,132,17231,232,11251,141079
千葉県,673,12715,3038,17347,316030
