都道府県,県内_宿泊,県内_日帰り,県外_宿泊,県外_日帰り,消費額単価
東京都,1036,61978,2563,53131,87512
神奈川県,776,9097,1720,7661,63062
新潟県,372,4796,1172,2445,45692
富山県,163,2834,554,1003,56280
福井県,131,673,937,1577,44753
山梨県,142,2238,1860,4491,68541
長野県,500,2561,3280,4391,84922
岐阜県,176,4384,845,6663,50365
愛知県,614,15789,740,5298,52504
三重県,218,3463,1216,7578,59005
京都府,400,1562,1622,3645,95680
兵庫県,579,9651,1334,11152,87067
奈良県,105,1253,320,3629,58861
和歌山県,135,757,823,1549,63223
鳥取県,81,512,403,922,37755
島根県,66,814,335,997,47403
岡山県,176,1347,420,1372,49667
広島県,426,2032,560,917,37424
山口県,108,2158,385,1665,54119
徳島県,39,706,251,1813,36559
香川県,84,1094,373,1883,55094
愛媛県,136,2065,412,818,48188
福岡県,429,9556,777,12761,85995
佐賀県,58,956,246,2900,63876
熊本県,256,4295,581,2199,48160
大分県,198,2055,803,1347,51850
宮崎県,108,1989,215,843,54145
鹿児島県,250,1846,620,936,71283
北海道,1332,4650,646,52,124197
青森県,136,1888,305,854,62977
岩手県,265,870,366,463,59652
宮城県,356,3258,597,1164,67580
秋田県,102,1700,192,582,42803
山形県,279,1187,393,2394,57671
福島県,391,765,758,1868,60416
茨城県,175,3930,352,5421,37391
栃木県,362,2942,1518,6576,60838
群馬県,330,2252,1066,1731,91225
埼玉県,98,16050,204,10077,41246
千葉県,595,8886,2822,9702,62147
東京都,1006,57862,1994,51630,94025
神奈川県,765,8568,1535,7738,76213
新潟県,422,3962,619,1572,49858
富山県,153,1046,293,1465,59500
福井県,156,132,366,1437,59537
山梨県,141,1251,1052,3386,69751
長野県,461,1324,1852,2489,65843
岐阜県,137,1997,614,5399,55889
愛知県,510,13674,691,6723,52581
三重県,242,3276,926,6290,60334
京都府,282,1275,1841,2463,141360
奈良県,45,1302,328,2917,57011
和歌山県,117,610,578,1159,63610
鳥取県,83,415,370,929,43898
島根県,94,300,283,1732,54845
岡山県,125,871,345,1381,62562
広島県,208,2503,550,940,40174
山口県,147,2235,333,1381,56579
徳島県,25,702,188,958,47998
香川県,65,1370,268,1516,54710
愛媛県,103,1843,387,677,48445
福岡県,339,8169,807,4662,76256
佐賀県,59,808,254,2569,53374
熊本県,219,3871,522,1786,49908
大分県,138,1099,701,1202,63592
宮崎県,94,1915,209,914,50227
