都道府県,目的,地点数,客数
宮崎県,歴史・文化,59,1602
宮崎県,温泉・健康,26,666
宮崎県,スポーツ・レク,86,1649
宮崎県,都市型観光,10,271
宮崎県,イベント,35,1404
鹿児島県,自然,38,417
鹿児島県,歴史・文化,66,1894
鹿児島県,温泉・健康,48,656
鹿児島県,スポーツ・レク,97,2319
鹿児島県,都市型観光,41,1271
鹿児島県,イベント,38,1258
北海道,自然,96,2749
北海道,歴史・文化,133,4400
北海道,温泉・健康,124,3711
北海道,スポーツ・レク,238,3378
北海道,都市型観光,71,5251
北海道,イベント,38,2776
青森県,自然,47,642
青森県,歴史・文化,59,963
青森県,温泉・健康,44,805
青森県,スポーツ・レク,72,757
青森県,都市型観光,52,3271
青森県,イベント,24,856
岩手県,自然,34,914
岩手県,歴史・文化,60,733
岩手県,温泉・健康,78,1390
岩手県,スポーツ・レク,57,539
岩手県,都市型観光,27,872
岩手県,イベント,35,960
宮城県,自然,31,1102
宮城県,歴史・文化,80,1708
宮城県,温泉・健康,35,1231
宮城県,スポーツ・レク,59,1426
宮城県,都市型観光,45,1838
宮城県,イベント,35,4511
秋田県,自然,30,1029
秋田県,歴史・文化,48,591
秋田県,温泉・健康,67,1187
秋田県,スポーツ・レク,67,752
秋田県,都市型観光,20,334
秋田県,イベント,21,1376
山形県,自然,39,555
山形県,歴史・文化,78,1950
山形県,温泉・健康,49,2312
山形県,スポーツ・レク,68,744
山形県,都市型観光,30,896
山形県,イベント,19,756
福島県,自然,49,1956
福島県,歴史・文化,78,2010
福島県,温泉・健康,49,1584
福島県,スポーツ・レク,76,1740
福島県,都市型観光,17,930
福島県,イベント,21,795
茨城県,自然,15,2034
茨城県,歴史・文化,51,3384
茨城県,温泉・健康,13,388
茨城県,スポーツ・レク,52,2457
茨城県,都市型観光,11,1895
茨城県,イベント,41,2138
栃木県,自然,38,2507
栃木県,歴史・文化,88,4514
栃木県,温泉・健康,30,1612
栃木県,スポーツ・レク,128,3064
栃木県,都市型観光,14,2550
栃木県,イベント,33,2011
群馬県,自然,46,1977
群馬県,歴史・文化,79,2738
群馬県,温泉・健康,71,3469
群馬県,スポーツ・レク,94,2492
群馬県,都市型観光,25,1338
群馬県,イベント,49,2488
埼玉県,自然,41,1402
埼玉県,歴史・文化,142,5003
埼玉県,温泉・健康,30,1242
埼玉県,スポーツ・レク,160,3024
埼玉県,都市型観光,41,14215
埼玉県,イベント,157,10739
千葉県,自然,34,228
千葉県,歴史・文化,139,4898
千葉県,温泉・健康,25,1092
千葉県,スポーツ・レク,296,17290
千葉県,都市型観光,24,4968
千葉県,イベント,79,5822
東京都,自然,6,855
東京都,歴史・文化,326,16433
東京都,温泉・健康,35,7723
東京都,スポーツ・レク,167,26232
東京都,都市型観光,86,204667
東京都,イベント,160,17305
神奈川県,自然,62,5953
神奈川県,歴史・文化,111,7739
神奈川県,温泉・健康,8,195
神奈川県,スポーツ・レク,81,7346
神奈川県,都市型観光,7,949
神奈川県,イベント,66,4094
新潟県,自然,76,1302
新潟県,歴史・文化,155,2307
新潟県,温泉・健康,106,2286
新潟県,スポーツ・レク,252,2193
新潟県,都市型観光,62,4336
新潟県,イベント,83,2278
富山県,自然,24,571
富山県,歴史・文化,71,1400
富山県,温泉・健康,19,673
富山県,スポーツ・レク,48,1033
富山県,都市型観光,5,264
富山県,イベント,19,737
石川県,自然,28,572
石川県,歴史・文化,100,2781
